 YEAR   	MONTHLY_SUM  	MONTHLY_SMOOTH_SUM
 ------ 	------------ 	--------------------
 200601	  2.957244E7	         2.8386088E7
 200602	 2.7199736E7	          2.962179E7
 200603	 3.2093194E7	2.9508623333333332E7
 200604	  2.923294E7	2.9556930333333332E7
 200605	 2.7344657E7	3.0100400333333332E7
 200606	 3.3723604E7	3.0990886666666668E7
 200607	 3.1904399E7	3.3134952333333332E7
 200608	 3.3776854E7	3.2378029333333332E7
 200609	 3.1452835E7	         3.2840998E7
 200610	 3.3293305E7	3.0849836333333332E7
 200611	 2.7803369E7	3.1206709666666668E7
 200612	 3.2523455E7	         3.1679664E7
 200701	 3.4712168E7	3.2961422333333332E7
 200702	 3.1648644E7	3.4481458666666664E7
 200703	 3.7083564E7	         3.3794018E7
 200704	 3.2649846E7	3.5171845333333336E7
 200705	 3.5782126E7	3.4308923333333336E7
 200706	 3.4494798E7	3.5344431333333336E7
 200707	  3.575637E7	3.5655487333333336E7
 200708	 3.6715294E7	         3.5158362E7
 200709	 3.3003422E7	3.5774714666666664E7
 200710	 3.7605428E7	3.5278211333333336E7
 200711	 3.5225784E7	3.6539248333333336E7
 200712	 3.6786533E7	3.6577464666666664E7
 200801	 3.7720077E7	3.6551631333333336E7
 200802	 3.5148284E7	         3.6696291E7
 200803	 3.7220512E7	         3.6473449E7
 200804	 3.7051551E7	3.7268565333333336E7
 200805	 3.7533633E7	3.7213043666666664E7
 200806	 3.7053947E7	3.8189623333333336E7
 200807	  3.998129E7	         3.8118465E7
 200808	 3.7320158E7	         3.8617406E7
 200809	  3.855077E7	         3.8831845E7
 200810	 4.0624607E7	3.8313643666666664E7
 200811	 3.5765554E7	3.9812126666666664E7
 200812	 4.3046219E7	3.9026503666666664E7
 200901	 3.8267738E7	3.9437131333333336E7
 200902	 3.6997437E7	         3.8977256E7
 200903	 4.1666593E7	3.9729461333333336E7
 200904	 4.0524354E7	4.0728440666666664E7
 200905	 3.9994375E7	4.1031222333333336E7
 200906	 4.2574938E7	4.1669715833333336E7
 200907	4.24398345E7	4.1401858166666664E7
 200908	 3.9190802E7	4.1048731833333336E7
 200909	 4.1515559E7	4.1104816333333336E7
 200910	 4.2608088E7	4.1448787333333336E7
 200911	 4.0222715E7	4.2730410333333336E7
 200912	 4.5360428E7	4.1521180333333336E7
 201001	 3.8980398E7	         4.0731102E7
 201002	  3.785248E7	          4.071956E7
 201003	 4.5325802E7	         4.1872594E7
 201004	   4.24395E7	4.3082637333333336E7
 201005	  4.148261E7	4.2933539666666664E7
 201006	 4.4878509E7	         4.3315693E7
 201007	  4.358596E7	4.4238907666666664E7
 201008	 4.4252254E7	          4.398565E7
 201009	 4.4118736E7	          4.397536E7
 201010	  4.355509E7	4.4621222333333336E7
 201011	 4.6189841E7	4.5564870666666664E7
 201012	 4.6949681E7	         4.5946798E7
 201101	 4.4700872E7	 4.456982593333333E7
 201102	4.20589248E7	        4.53509756E7
 201103	  4.929313E7	 4.500832293333334E7
 201104	 4.3672914E7	4.6360111333333336E7
 201105	  4.611429E7	4.6053971333333336E7
 201106	  4.837471E7	4.6163436666666664E7
 201107	  4.400131E7	          4.689308E7
 201108	  4.830322E7	         4.6363175E7
 201109	 4.6784995E7	         4.6918425E7
 201110	  4.566706E7	         4.6017425E7
 201111	  4.560022E7	          4.600357E7
 201112	  4.674343E7	4.5753619666666664E7
 201201	 4.4917209E7	4.5030472333333336E7
 201202	 4.3430778E7	4.4619477333333336E7
 201203	 4.5510445E7	         4.3849381E7
 201204	  4.260692E7	4.4899984333333336E7
 201205	 4.6582588E7	         4.4413199E7
 201206	 4.4050089E7	         4.4925499E7
 201207	  4.414382E7	         4.4750583E7
 201208	  4.605784E7	4.3720561666666664E7
 201209	 4.0960025E7	4.3772123333333336E7
 201210	 4.4298505E7	4.2869053333333336E7
 201211	  4.334863E7	         4.3118305E7
 201212	  4.170778E7	         4.3053415E7
 201301	 4.4103835E7	         4.1365745E7
 201302	  3.828562E7	         4.0682513E7
 201303	 3.9658084E7	         4.0088862E7
 201304	 4.2322882E7	         4.1738896E7
 201305	 4.3235722E7	4.1568222666666664E7
 201306	 3.9146064E7	4.1835991666666664E7
 201307	 4.3126189E7	          4.129738E7
 201308	 4.1619887E7	4.0470698666666664E7
 201309	  3.666602E7	3.9911435666666664E7
 201310	   4.14484E7	3.8027203333333336E7
 201311	  3.596719E7	         3.8611436E7
 201312	 3.8418718E7	         3.7425568E7
 201401	 3.7890796E7	         3.6565589E7
 201402	 3.3387253E7	         3.6187293E7
 201403	  3.728383E7	3.5875929333333336E7
 201404	 3.6956705E7	3.7215836666666664E7
 201405	 3.7406975E7	3.7176707333333336E7
 201406	 3.7166442E7	3.8626275666666664E7
 201407	  4.130541E7	3.9242652333333336E7
 201408	 3.9256105E7	         4.0097955E7
 201409	  3.973235E7	4.0183511666666664E7
 201410	  4.156208E7	3.8927386666666664E7
 201411	  3.548773E7	          3.975522E7
 201412	  4.221585E7	          3.885179E7
